,state,NAME,POPESTIMATE2013,2013 reported sightings,sightings per 1M residents,most sighting city,common UFO shape,longest sighting (seconds),color index
43,vt,Vermont,627129,59,94.07952749753241,montpelier,light,2700,11
10,id,Idaho,1612785,83,51.463772294509184,boise,light,7200,6
18,me,Maine,1328778,67,50.422267677520246,portland,light,14400,6
27,nh,New Hampshire,1322660,60,45.36313187062435,manchester,light,9000,5
23,mt,Montana,1014402,46,45.346913748198446,bozeman,light,10800,5
34,or,Oregon,3928030,169,43.0241113229787,portland,light,14400,5
44,wa,Washington,6973281,282,40.44007404835686,seattle,light,18000,5
29,nm,New Mexico,2086890,71,34.021917781962635,albuquerque,light,7200,4
5,ct,Connecticut,3597168,112,31.135604453281026,meriden,light,10800,3
2,az,Arizona,6630799,194,29.257409250378423,phoenix,light,432000,3
37,sc,South Carolina,4768498,132,27.681672509876275,myrtle beach,light,14400,3
32,oh,Ohio,11572232,320,27.65240102341536,columbus,fireball,14400,3
36,ri,Rhode Island,1052856,29,27.544127591997384,woonsocket,fireball,172800,3
45,wi,Wisconsin,5743653,156,27.160415157391995,madison,light,14400,3
46,wv,West Virginia,1852985,48,25.90414925107327,charleston,light,3600,3
41,ut,Utah,2903685,71,24.45168811355226,salt lake city,light,7200,3
16,ma,Massachusetts,6708810,164,24.445467974201087,bridgewater,light,86400,3
4,co,Colorado,5271132,125,23.714071284877708,denver,circle,18000,2
7,fl,Florida,19594467,454,23.169806047799106,orlando,fireball,10800,2
9,ia,Iowa,3092224,71,22.96082043215498,des moines,light,7200,2
47,wy,Wyoming,583131,13,22.29344692701983,gillette,light,1800,2
42,va,Virginia,8267875,174,21.045310917255037,virginia beach,light,2102400,2
20,mn,Minnesota,5420541,114,21.031111101271993,minneapolis,light,16200,2
35,pa,Pennsylvania,12783536,258,20.182209366798045,pittsburgh,light,86400,2
38,sd,South Dakota,845270,16,18.92886296686266,rapid city,light,3600,2
33,ok,Oklahoma,3853405,72,18.68477359633882,moore,light,172800,2
14,ky,Kentucky,4398500,80,18.188018642719108,louisville,light,5400,2
12,in,Indiana,6570518,119,18.111205235264556,indianapolis,light,7200,2
24,nc,North Carolina,9845432,175,17.77474061067102,charlotte,light,14400,2
39,tn,Tennessee,6496130,110,16.93315866523607,nashville,light,10800,2
17,md,Maryland,5936040,99,16.67778519012675,baltimore,circle,10800,2
13,ks,Kansas,2894630,47,16.236962927904433,wichita,fireball,3600,2
3,ca,California,38414128,619,16.1138631078649,los angeles,light,72000,2
1,ar,Arkansas,2957957,47,15.88934524741232,springdale,circle,7200,1
19,mi,Michigan,9900506,148,14.948730903248784,grand rapids,light,21600,1
30,nv,Nevada,2790366,41,14.693412978799197,las vegas,light,7200,1
21,mo,Missouri,6043708,87,14.395136230936373,st. louis,light,14400,1
0,al,Alabama,4830533,67,13.87010501739663,huntsville,light,14400,1
28,nj,New Jersey,8907384,122,13.69650168893583,toms river,light,21600,1
26,ne,Nebraska,1869300,25,13.373990263735088,lincoln,circle,14400,1
6,de,Delaware,925353,12,12.968024094588769,bear,circle,9000,1
8,ga,Georgia,9991562,122,12.210303053716727,cumming,fireball,15660,1
11,il,Illinois,12889580,155,12.025217268522326,chicago,fireball,7200,1
22,ms,Mississippi,2990976,33,11.033187828989602,ocean springs,circle,7200,1
31,ny,New York,19691032,209,10.613968836168668,new york city (bronx),light,14400,1
15,la,Louisiana,4627491,46,9.940591996829383,new orleans,light,10800,1
25,nd,North Dakota,723626,6,8.29157603513417,hazen,triangle,3600,1
40,tx,Texas,26500674,211,7.962061644167994,austin,light,10800,0
